"Respondent","Database1","Database2","Database3","Database4","Database5","Database6","Database7","Database8","Database9","Database10","Database11","Database12","Database13"
1058,"MariaDB","MongoDB","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,"Elasticsearch","MongoDB","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,"MongoDB","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,"Microsoft SQL Server","MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,"MariaDB","Microsoft SQL Server","MySQL","PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,"MySQL","PostgreSQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,"MongoDB","Microsoft SQL Server",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1126,"MariaDB","Microsoft SQL Server","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,"SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,"Firebase","MongoDB","Microsoft SQL Server","MySQL","Oracle","SQLite",NA,NA,NA,NA,NA,NA,NA
1146,"MongoDB","Microsoft SQL Server","MySQL","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA
1148,"PostgreSQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1158,"Elasticsearch","MongoDB","Oracle","Redis","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA
1168,"MySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,"PostgreSQL","SQLite","Other(s):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,"DynamoDB","SQLite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1185,"MongoDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
